side,bucket,value,count
offense,rp,pass,19
offense,rp,run,14
offense,rp_dir,pass:left,10
offense,rp_dir,pass:right,9
offense,rp_dir,run:left,9
offense,rp_dir,run:right,5
defense,rp,pass,4
defense,rp,run,14
defense,rp_dir,pass:left,3
defense,rp_dir,pass:right,1
defense,rp_dir,run:left,4
defense,rp_dir,run:right,10
