side,bucket,value,count
offense,rp,pass,12
offense,rp,run,12
offense,rp_dir,pass:left,8
offense,rp_dir,pass:right,4
offense,rp_dir,run:left,7
offense,rp_dir,run:right,5
defense,rp,pass,6
defense,rp,run,10
defense,rp_dir,pass:left,3
defense,rp_dir,pass:right,3
defense,rp_dir,run:left,3
defense,rp_dir,run:right,7
